index,Tweet ID,Date Created,Tweet,Clean_tweet,Polarity,Subjectivity,Retweets,Favorites,Language,User ID,User Name,User Twitter Handle,Follower Count,Friend Count,Location,Verified
0,1137024303361339392,2019-06-07,"Congratulations to everyone graduating this spring!

Remember, it's not whether you get knocked down that matters—it's whether you get back up and keep going. https://t.co/BWQePeEDqt",Congratulations everyone graduating this spring Remember whether knocked down that matters whether back keep going BWQePeEDqt,-0.07777777777777779,0.14444444444444446,4944,27162,en,1339835893,Hillary Clinton,HillaryClinton,24626280,797,"New York, NY",True
1,1136377947722567680,2019-06-05,"The administration is canceling “English classes, recreational programs and legal aid” for kids in migrant shelters, meaning facilities for children would be indistinguishable from prisons. 

Don't let them get away with it. 

https://t.co/L5GBzEGEMW",administration canceling English classes recreational programs legal kids migrant shelters meaning facilities children would indistinguishable from prisons them away with GBzEGEMW,0.1,0.1,15333,40076,en,1339835893,Hillary Clinton,HillaryClinton,24626280,797,"New York, NY",True
2,1136371602554331136,2019-06-05,"On #WorldEnvironmentDay, I’m feeling inspired by the work to build climate resilience that USVI, PR, and Caribbean communities shared at the @ClintonGlobal Action Network Meeting. This fight has many fronts, and people are coming together to take them on. https://t.co/cqJTsMSzuY",#WorldEnvironmentDay feeling inspired work build climate resilience that USVI Caribbean communities shared Action Network Meeting This fight many fronts people coming together take them cqJTsMSzuY,0.3,0.3,1070,4493,en,1339835893,Hillary Clinton,HillaryClinton,24626280,797,"New York, NY",True
3,1135964489042530306,2019-06-04,"RT @harrisonjaime: I may not be a superhero, but I am a proud South Carolinian, and I'm ready to fight for a better future for our state an…",superhero proud South Carolinian ready fight better future state,0.375,0.53125,13886,0,en,1339835893,Hillary Clinton,HillaryClinton,24626280,797,"New York, NY",True
4,1135962597755379712,2019-06-04,"Everyone should encourage their elected officials and candidates to sign this pledge! 

Fairer districts means our voices as voters are better represented in policy decisions that affect all of us—it's really that simple. https://t.co/I1y89P0GXw",Everyone should encourage their elected officials candidates sign this pledge Fairer districts means voices voters better represented policy decisions that affect really that simple,0.2333333333333333,0.3523809523809524,2610,8332,en,1339835893,Hillary Clinton,HillaryClinton,24626280,797,"New York, NY",True
5,1135923842952642561,2019-06-04,"Glad to be in St. Thomas, USVI this morning speaking with leaders on the front lines of climate change. There are so many people working to create resilient communities and inspire climate-smart actions—tune in to hear from some of them at 11am ET: https://t.co/P5Jemwrmyr",Glad Thomas USVI this morning speaking with leaders front lines climate change There many people working create resilient communities inspire climate smart actions tune hear from some them Jemwrmyr,0.4047619047619047,0.7142857142857143,498,2521,en,1339835893,Hillary Clinton,HillaryClinton,24626280,797,"New York, NY",True
6,1135912240983318528,2019-06-04,This is horrifying. Those responsible must be held to account. https://t.co/rEiHgOAvBD,This horrifying Those responsible must held account rEiHgOAvBD,-0.35,0.775,8478,32611,en,1339835893,Hillary Clinton,HillaryClinton,24626280,797,"New York, NY",True
7,1135903732745539584,2019-06-04,"Thank you so much! I miss her every day, and especially today. https://t.co/mDFTLezVBv",Thank much miss every especially today mDFTLezVBv,0.1,0.6,2006,22421,en,1339835893,Hillary Clinton,HillaryClinton,24626280,797,"New York, NY",True
8,1135899093421776896,2019-06-04,"Eid Mubarak to all those celebrating the end of the holy month of Ramadan. May God grant peace, health, and prosperity.",Mubarak those celebrating holy month Ramadan grant peace health prosperity,0.8658,0.0,4804,33051,en,1339835893,Hillary Clinton,HillaryClinton,24626280,797,"New York, NY",True
9,1135635275995131909,2019-06-03,"RT @swingleft: Virginia GOP State legislators blocked any common-sense gun reforms from passing, even after terrifying shootings at Virgini…",Virginia State legislators blocked common sense reforms from passing even after terrifying shootings Virgini,-0.65,0.75,1033,0,en,1339835893,Hillary Clinton,HillaryClinton,24626280,797,"New York, NY",True
10,1135609023221436416,2019-06-03,"We covered the waterfront, give it a listen! https://t.co/HMifftUvh3",covered waterfront give listen HMifftUvh,0.0,0.0,649,3238,en,1339835893,Hillary Clinton,HillaryClinton,24626280,797,"New York, NY",True
11,1135591861538762757,2019-06-03,"I don't know who needs to hear this, but the president is not above the law.",know needs hear this president above,0.0,0.1,66376,323384,en,1339835893,Hillary Clinton,HillaryClinton,24626280,797,"New York, NY",True
12,1135577022837809153,2019-06-03,"Happy Pride Month! Gay rights are human rights, now and forever. This administration's attacks on the LGBTQ+ community can never change that, and I'm proud to stand and fight with you to make sure those rights are recognized as they should be. 🌈",Happy Pride Month rights human rights forever This administration attacks LGBTQ community never change that proud stand fight with make sure those rights recognized they should,0.525,0.7472222222222222,10392,67640,en,1339835893,Hillary Clinton,HillaryClinton,24626280,797,"New York, NY",True
13,1135562674178334720,2019-06-03,Island nations and territories already bear the brunt of climate change. I'm thrilled to be in the U.S. Virgin Islands this week with @BillClinton and @ClintonGlobal to meet some of the people and programs pioneering strategies for climate resilience. https://t.co/wT1KYZ0id0,Island nations territories already bear brunt climate change thrilled Virgin Islands this week with meet some people programs pioneering strategies climate resilience,0.6,0.7,1654,8776,en,1339835893,Hillary Clinton,HillaryClinton,24626280,797,"New York, NY",True
14,1135167721472221191,2019-06-02,"I'm disgusted by legislators' refusal to address the reality that this equipment needs to be regulated. We don’t need any more evidence that lives are at stake, and 12 more people just paid a terrible price for continuing inaction.",disgusted legislators refusal address reality that this equipment needs regulated need more evidence that lives stake more people just paid terrible price continuing inaction,-0.25,0.75,4629,27941,en,1339835893,Hillary Clinton,HillaryClinton,24626280,797,"New York, NY",True
15,1135167719609917440,2019-06-02,".@JulietteKayyem makes a chilling point in her @washingtonpost op-ed today about the way shooters' use of barrel suppressors and other silencing equipment makes it harder for people to save themselves and others. The sound of gunfire can save lives. 
https://t.co/9xfYZ5sVZU",makes chilling point today about shooters barrel suppressors other silencing equipment makes harder people save themselves others sound gunfire save lives xfYZ sVZU,-0.08124999999999999,0.41874999999999996,4920,20196,en,1339835893,Hillary Clinton,HillaryClinton,24626280,797,"New York, NY",True
16,1134521891669061632,2019-05-31,"Congratulations to @shannonrwatts on #FightLikeAMother, the story of how @MomsDemand grew from an idea she had in her living room to a powerful grassroots network to prevent gun violence. It’s a lovely reminder that we can all change the country and the world. https://t.co/eolMeTISEi",Congratulations #FightLikeAMother story grew from idea living room powerful grassroots network prevent violence lovely reminder that change country world eolMeTISEi,0.4,0.875,2313,14074,en,1339835893,Hillary Clinton,HillaryClinton,24626280,797,"New York, NY",True
17,1134216105931747328,2019-05-30,Here's what I'm listening to today. Hope you'll tune in too: https://t.co/zL40Cqz6rI,Here what listening today Hope tune,0.4404,0.0,1890,9478,en,1339835893,Hillary Clinton,HillaryClinton,24626280,797,"New York, NY",True
18,1134180540268077057,2019-05-30,"Seems like the link above may be overloaded, so try this! https://t.co/9XHfdqdETn",Seems like link above overloaded this XHfdqdETn,0.3612,0.1,476,1935,en,1339835893,Hillary Clinton,HillaryClinton,24626280,797,"New York, NY",True
19,1134131215110422530,2019-05-30,"Rhode Islanders: A bill to protect reproductive rights is up for consideration in the state Senate, and it'll be a close vote. Give your senator a call this week and spread the word—every bit of advocacy helps: https://t.co/L1wwpB5IIi",Rhode Islanders bill protect reproductive rights consideration state Senate close vote Give your senator call this week spread word every advocacy helps wwpB,0.6369,0.0,4315,13335,en,1339835893,Hillary Clinton,HillaryClinton,24626280,797,"New York, NY",True
