HillaryClinton,Hillary Clinton
SenBlumenthal,Richard Blumenthal
SenSherrodBrown,Sherrod Brown
SenatorCantwell,Maria Cantwell
SenSanders,Bernie Sanders
SenWarren,Elizabeth Warren
SenSchumer,Chuck Schumer
KamalaHarris,Kamala Harris
CoryBooker,Cory Booker
BarackObama,Barack Obama
AndrewYang,Andrew Yang
amyklobuchar,Amy Klobuchar
maziehirono,Mazie Hirono
SenatorBaldwin,Tammy Baldwin
SenBobCasey,Bob Casey
RandPaul,Rand Paul
tedcruz,Ted Cruz
SenAlexander,Lamar Alexander
MarshaBlackburn,Marsha Blackburn
JohnBoozman,John Boozman
SenatorBurr,Richard Burr
RoyBlunt,Roy Blunt
BillCassidy,Bill Cassidy
SenTomCotton,Tom Cotton
realDonaldTrump,Donald Trump
TomPerez,Tom Perez
SenatorTimScott,Tim Scott
GOPChairwoman,Ronna McDaniel
JebBush,Jeb Bush
senatemajldr,Mitch McConnell
